Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Dnešného stavu a počtu skoro 1,5 milióna sporiteľov, ktorých je v druhom pilieri, si dovolím povedať, že tú predstavu a tú nejakú umelú podmienku (vymeriavací základ 1000 eur a vyššie) spĺňa možno 300-tisíc.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"Ideálne je byť v tomto druhom pilieri od príjmu alebo vymeriavacieho základu 1 000 eur a vyššie a treba povedať dlhodobo.";Nepravda;"Podľa Stanislava Žofčáka, predsedu Asociácie dôchodkových správcovských spoločností, sporenie v druhom pilieri odporúča každému, kto má zárobok nad 700 EUR. Analýza inštitútu INESS sa taktiež zhoduje tvrdením, že výhodné sporenie v druhom pilieri je pre občanov s príjmom vyšším ako 700 EUR";;;"Ján Richter";"SMER - sociálna demokracia"
"Vychádzam z decembrových čísiel minulého roku. 350-tisíc sporiteľov v druhom dôchodkovom pilieri sú bez vymeriavacieho základu. ... Ďalších 450-tisíc sporiteľov je do vymeriavacieho základu, to znamená príjmu 500 eur.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"My sme viackrát otvoril druhý pilier a dali sme šancu. Pomenovali sme, pre koho je výhodný, pre koho nie je výhodný a dali sme šancu, aby tí ľudia vystúpili a aby prešli do toho prvého priebežného.";Pravda;"Druhý dôchodkový pilier bol zatiaľ otvorený trikrát, vždy počas vlády Smeru. V dobe otvorenia vydala vláda a Sociálna poisťovňa svoje stanovisko k zotrvaniu v druhom pilieri. Výrok hodnotíme ako pravdivý. Prvýkrát sa vláda Roberta Fica rozhodla otvoriť II. pilier v roku 2008 od 1. januára do 30. jún";;;"Ján Richter";"SMER - sociálna demokracia"
"...zvýšiť celkové kapacity predškolských zariadení, pretože 8-9-tisíc minimálne ročne sa javí byť nedostatok a to nezahŕňam do toho súkromné zariadenia...";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"Ale tu treba povedať, že my 90% nákladov súvisiacich so zamestnaním matky berieme na seba.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"Len 40% matiek, ktoré majú deti do 6 rokov pracuje.";Nepravda;"Výrok hodnotíme ako nepravdivý, keďže zamestnanosť matiek s deťmi do 6 rokov je paradoxne ešte nižšia. Podľa Eurostat je zamestnaných len 34,6 % matiek s deťmi mladšími ako 6 rokov.Je pravdou, že zamestnanosť matiek klesla v porovnaní s rokom 2009 o vyše 2 percentuálne body. Skutočná zames";;;"Ján Richter";"SMER - sociálna demokracia"
"...súčasťou minimálnej mzdy je aj opatrenie ohľadom odvodového balíčka. To znamená, že ak sme o 32 eur navýšili minimálnu mzdu, je tam kompenzácia pre zamestnávateľov, aby sa ich odvody, ktoré súvisia s navýšením tejto minimálnej mzdy jednoducho nezdvíhali. Výsledok? 32 eur mesačne pri tej klasickej minimálnej mzde navyše, čo predstavuje 13. plat...";Neoveritelné;"Zvýšenie minimálnej mzdy o
32 eur je oficiálnym vyhlásením vlády, ktoré podporil aj R.
Fico na tlacovej konferencii o
znížení zdravotných odvodov.
Vzhladom
na to, že v roku 2014 bola minimálna mesacná mzda 352 eur a k
1.1.2015 sa zvýšila na 380 eur, rozdiel tak ciní 28 eur. Tieto
císla sa";;;"Ján Richter";"SMER - sociálna demokracia"
"Z mojich opatrení rezortných, ktoré sa týkajú sociálneho balíčka. Minimálna mzda. Vianočný dôchodok pomenované. Až 100 eur navýšenie. Dotklo sa to v prvom prípade 780-tisíc dôchodcov. V druhom prípade až milióna.";Neoveritelné;"Minister Richter vo výroku pravdepodobne referuje k počtu dôchodcov, ktorí mali v roku 2014 nárok na vianočný príspevok, a k celkovému počtu občanov ktorých sa dotkli opatrenia zahŕňajúce zvýšenie minimálnej mzdy, zavedenie súbehu dávok a platov pre dlhodobo nezamestnaných a vyplatenie vianočných pr";;;"Ján Richter";"SMER - sociálna demokracia"
"....boli navýšené príspevky na vianočné takzvané dôchodky alebo príspevky.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"No a samozrejmá vec, že týka sa aj dôchodcov, pretože tí boli tak trošku nešťastní, ja tomu rozumiem vzhľadom na valorizáciu dôchodkov v minulom roku, pretože inflácia nebola.";Pravda;"V tomto roku sa zvyšujú dôchodky opäť o pevnú sumu, navyše každý druh dôchodku porastie inak. Valorizačný vzorec tentoraz až na 70 percent ovplyvní inflácia, ktorá v rozhodujúcom období pre výpočet zaznamenala záporné číslo, kým pomerne slušný rast miezd sa v ňom odrazí iba na 30 percent. Výrok";;;"Ján Richter";"SMER - sociálna demokracia"
"...nezamestnanosť klesla o viac ako 2 % v poslednom období.";Pravda;"Fico hovorí ""v poslednom období"", beriem tak začiatok roka 2013 a neporovnávame rovnaké mesiace v roku. Je pravdou, že podľa údajov Ústredia práce klesla v porovnaní s januárom 2013 nezamestnanosť o viac ako 2 percentuálne body.  Tento údaj potvrdzuje aj podobne výrazný pokles nezamestnanosti o";;;"Robert Fico";"SMER - sociálna demokracia"
"My si myslíme, že rozhodnutie, ktoré smerovalo k zamestnávateľom, kedy sme podporili zamestnávateľa pri zamestnávaní mladých ľudí preplatením minimálnej mzdy, vrátane odvodov, je efektívne a o tom svedčí jeden údaj. Až 80 % mladých ľudí, ktorí takto nastúpili do práce, si udržalo svoje pozície pracovné.";Neoveritelné;"Takmer rovnaký výrok Robert Fico vyslovil už v relácii O 5 minút 12 19. októbra 2014. Tak ako vtedy, i teraz sme nedokázali nájsť nijakú analýzu, či inú informáciu, ktorá hovorí o tom, koľko percent mladých ľudí zamestnaných takýmto spôsobom si udržalo svoju prácu. Výrok hodnotíme ako neoveriteľný.";;;"Robert Fico";"SMER - sociálna demokracia"
